(1 1)        package         "package"
(1 9)        IDENT           "main"
(1 13)       ;               ";"
(3 1)        var             "var"
(3 5)        IDENT           "a"
(3 7)        IDENT           "int"
(3 11)       =               "="
(3 13)       INT             "1"
(3 15)       <               "<"
(3 17)       INT             "2"
(3 18)       ;               ";"
(4 1)        var             "var"
(4 5)        IDENT           "b"
(4 7)        IDENT           "int"
(4 11)       =               "="
(4 13)       INT             "1"
(4 15)       <=              "<="
(4 18)       INT             "2"
(4 19)       ;               ";"
(5 1)        var             "var"
(5 5)        IDENT           "c"
(5 7)        IDENT           "int"
(5 11)       =               "="
(5 13)       INT             "1"
(5 15)       >               ">"
(5 17)       INT             "2"
(5 18)       ;               ";"
(6 1)        var             "var"
(6 5)        IDENT           "d"
(6 7)        IDENT           "int"
(6 11)       =               "="
(6 13)       INT             "1"
(6 15)       >=              ">="
(6 18)       INT             "2"
(6 19)       ;               ";"
(7 1)        var             "var"
(7 5)        IDENT           "e"
(7 7)        IDENT           "bool"
(7 12)       =               "="
(7 14)       IDENT           "true"
(7 19)       ||              "||"
(7 22)       IDENT           "false"
(7 27)       ;               ";"
(8 1)        var             "var"
(8 5)        IDENT           "f"
(8 7)        IDENT           "string"
(8 14)       =               "="
(8 16)       STRING          "\"quote: \\\"hello\\\"\""
(8 34)       ;               ";"
(9 1)        var             "var"
(9 5)        IDENT           "g"
(9 7)        IDENT           "float"
(9 13)       =               "="
(9 15)       FLOAT           "1e10"
(9 19)       ;               ";"
(10 1)       var             "var"
(10 5)       IDENT           "h"
(10 7)       IDENT           "float"
(10 13)      =               "="
(10 15)      FLOAT           "2.5E-3"
(10 21)      ;               ";"
Error at (12 1): comment not terminated
